George Lucas
Mark Hamill
Harrison Ford
Carrie Fisher
Peter Cushing
Anthony Daniels
Andrew Stanton
Lee Unkrich
Graham Walters
Bob Peterson
David Reynolds
Alexander Gould
Albert Brooks
Ellen DeGeneres
Brad Garrett
Allison Janney
Elizabeth Perkins
Barry Humphries
Bill Hunter
Robert Zemeckis
Winston Groom
Eric Roth
Wendy Finerman
Steve Tisch
Steve Starkey
Tom Hanks
Robin Wright
Gary Sinise
Mykelti Williamson
Sally Field
Don Burgess
Alan Silvestri
Arthur Schmidt
Sam Mendes
Orson Welles
Lars von Trier
John Fawcett
Simon Maginn
Stephen Massicotte
Björk
Sean Bean
Maria Bello
Catherine Deneuve
Richard Elfyn
David Morse
Peter Stormare
Maurice Roeves
Abigail Stone
Sophie Stuckey
Luc Besson
Patrice Ledoux
Robert Mark Kamen
Bruce Willis
Milla Jovovich
Gary Oldman
Ian Holm
Chris Tucker
Erich Pommer
Fritz Lang
Gottfried Huppertz
Karl Freund
Günther Rittau
Alfred Abel
Gustav Fröhlich
Brigitte Helm
Rudolf Klein-Rogge
Fritz Rasp
Theodor Loos
Erwin Biswanger
Heinrich George
Olaf Storm
Hanns Leo Reich
Johnny Depp
Bruce Brown
Isabel Coixet
Robert August
Esther García
Gaston Georis
Gordon McLennan
Nanci Kincaid
Sarah Polley
Amanda Plummer
Scott Speedman
Leonor Watling
Debbie Harry
Mark Ruffalo
Jean-Claude Larrieu
Lisa Robison
Alfonso Vilallonga
Peter Jackson
Elijah Wood
Viggo Mortensen
Cate Blanchett
Christopher Lee
Orlando Bloom
Keira Knightley
Howard Shore
Geoffrey Rush
Dariusz Wolski
Klaus Badelt
Barrie M. Osborne
Fran Walsh
Philippa Boyens
J.R.R. Tolkien
Kenny Baker
Jake Gyllenhaal
Scott MacDonald
Peter Sarsgaard
Jamie Foxx
Bobby Cohen
Sam Mercer
Quentin Tarantino
Uma Thurman
Lucy Liu
David Carradine
William Broyles Jr.
Michael Madsen
Anthony Swofford
Robert Richardson
RZA
Roger Deakins
Jim Morrison
Thomas Newman
Walter Murch
Lucas Black
Sally Menke
Thea von Harbou
Ivri Lider
Eytan Fox
Amir Harel
Gal Uchovsky
Yosef Grunfeld
Lior Ashkenazi
Knut Berger
Caroline Peters
Gideon Shemer
Carola Regnier
Hanns Zischler
Ernest Lenart
Tobias Hochstein
Michael Winterbottom
Andrew Eaton
Kieran O'Brien
Margo Stilley
Marcel Zyskind
Mat Whitecross
Koji Morimoto
Katsuhiro Otomo
Yoko Kanno
Tensai Okamura
Mike Hynson
Clint Eastwood
Morgan Freeman
Gene Hackman
Richard Harris
Lennie Niehaus
David Silverman
Dan Castellaneta
Julie Kavner
Nancy Cartwright
Michel Gondry
Charlie Kaufman
Kate Winslet
Kirsten Dunst
Jim Carrey
Tom Wilkinson
Ryan Whitney
Jane Adams
Amir Ali Said
Debbon Ayer
David Cross
Gerry Robert Byrne
Brian Price
Josh Flitter
Paul Litowsky
Lola Daehler
Lauren Adler
Pierre Bismuth
